source_id,source_name,author,title,description,content,url,urlToImage,publishedAt,query,overall_sentiment_score,overall_sentiment_label,category_within_source,source_domain,topics,matched_tickers,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
,Yahoo Finance,Maham Fatima,TD Cowen Lowers Cerence (CRNC) PT to $12 Following Noisy FQ1 2026 Results,"TD Cowen has reduced its price target for Cerence (CRNC) to $12 from $13, maintaining a Hold rating after characterizing the company's Q1 2026 results as ""noisy."" Despite a significant year-over-year revenue surge driven by a patent settlement and reaffirmed full-year guidance, the firm noted a potential EBITDA shortfall for the rest of the year compared to consensus. Cerence reported a 126% revenue increase in Q1 2026, largely due to a $49.5 million patent settlement with Samsung, and is advancing its next-generation XUI platform and expanding its AI portfolio.","TD Cowen has reduced its price target for Cerence (CRNC) to $12 from $13, maintaining a Hold rating after characterizing the company's Q1 2026 results as ""noisy."" Despite a significant year-over-year revenue surge driven by a patent settlement and reaffirmed full-year guidance, the firm noted a potential EBITDA shortfall for the rest of the year compared to consensus. Cerence reported a 126% revenue increase in Q1 2026, largely due to a $49.5 million patent settlement with Samsung, and is advancing its next-generation XUI platform and expanding its AI portfolio.",https://finance.yahoo.com/news/td-cowen-lowers-cerence-crnc-101851523.html,https://s.yimg.com/ny/api/res/1.2/ii3FFnpDuCbKFJ_RceunBA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTY0MA--/https://media.zenfs.com/en/insidermonkey.com/7e26ea6f1ad6c576f763092ea42f8af5,2026-02-08 02:18:00+00:00,AAPL,-0.051853,Neutral,General,Yahoo Finance,"earnings,technology,financial_markets,finance",AAPL,0.639204,-0.132970,Neutral
,The Globe and Mail,Motley Fool,Will Taking Over Apple's Credit Card Business Boost JPMorgan Chase Stock?,"JPMorgan Chase is set to take over the Apple Card business from Goldman Sachs in early 2026, a transition expected to take about two years. While the Apple Card user base of over 12 million is not a massive expansion for Chase, which already issues 150 million cards, a significant portion of these users are young. This demographic presents valuable cross-selling opportunities for Chase's other products and is anticipated to positively impact the bank's stock.","JPMorgan Chase is set to take over the Apple Card business from Goldman Sachs in early 2026, a transition expected to take about two years. While the Apple Card user base of over 12 million is not a massive expansion for Chase, which already issues 150 million cards, a significant portion of these users are young. This demographic presents valuable cross-selling opportunities for Chase's other products and is anticipated to positively impact the bank's stock.",https://www.theglobeandmail.com/investing/markets/markets-news/Motley%20Fool/93757/will-taking-over-apple-s-credit-card-business-boost-jpmorgan-chase-stock/,https://barchart-news-media-prod.aws.barchart.com/FC/6d1e1f9726fcf79b54d5e64e00b70ae5/%3Furl%3Dhttps%253a%252f%252fg.foolcdn.com%252feditorial%252fimages%252f850293%252fperson-holding-payment-card-while-using-a-laptop-pc.jpg%26amp%3Bw%3D700,2026-02-08 05:01:42+00:00,AAPL,0.06709,Neutral,General,The Globe and Mail,"finance,technology,financial_markets,mergers_and_acquisitions",AAPL,0.906598,0.132229,Neutral
,The Globe and Mail,"Motley Fool, Jake Lerch",Leveraged ETFs: QLD Boasts More Tech Exposure Compared to SSO,"This article compares two leveraged ETFs, ProShares Ultra QQQ (QLD) and ProShares Ultra S&P500 (SSO), highlighting QLD's greater exposure to technology and communication services, leading to higher returns but also steeper drawdowns. Both ETFs use daily leverage, making them volatile and suitable only for investors willing to endure significant market fluctuations. The piece advises caution due to their inherent leverage and risk.","This article compares two leveraged ETFs, ProShares Ultra QQQ (QLD) and ProShares Ultra S&P500 (SSO), highlighting QLD's greater exposure to technology and communication services, leading to higher returns but also steeper drawdowns. Both ETFs use daily leverage, making them volatile and suitable only for investors willing to endure significant market fluctuations. The piece advises caution due to their inherent leverage and risk.",https://www.theglobeandmail.com/investing/markets/stocks/NVDA/pressreleases/89744/leveraged-etfs-qld-boasts-more-tech-exposure-compared-to-sso/,https://barchart-news-media-prod.aws.barchart.com/FC/ce4e1dcafea6b1505e656407555af5dc/pixel%3Fslug%3Dmotleyfoolgm-2026-2-7-leveraged-etfs-qld-boasts-more-tech-exposure-compared-to-sso,2026-02-08 05:59:47+00:00,AAPL,0.26754,Somewhat-Bullish,General,The Globe and Mail,"financial_markets,technology",AAPL,0.619282,0.317763,Somewhat-Bullish
,MarketBeat,MarketBeat,Apple Inc. $AAPL Stock Holdings Lessened by Argus Investors Counsel Inc.,"Argus Investors Counsel Inc. reduced its stake in Apple Inc. by 12.3% in Q3, selling 2,455 shares, but Apple remains its fourth-largest holding. Despite this specific reduction, major institutional investors like Vanguard, State Street, and Norges Bank significantly increased or initiated positions in AAPL, bringing institutional ownership to about 67.7%. Apple also reported strong Q1 results, beating EPS and revenue estimates, and announced a quarterly dividend.","Argus Investors Counsel Inc. reduced its stake in Apple Inc. by 12.3% in Q3, selling 2,455 shares, but Apple remains its fourth-largest holding. Despite this specific reduction, major institutional investors like Vanguard, State Street, and Norges Bank significantly increased or initiated positions in AAPL, bringing institutional ownership to about 67.7%. Apple also reported strong Q1 results, beating EPS and revenue estimates, and announced a quarterly dividend.",https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-stock-holdings-lessened-by-argus-investors-counsel-inc-2026-02-08/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-08 08:16:47+00:00,AAPL,0.192524,Somewhat-Bullish,General,MarketBeat,"earnings,financial_markets,technology",AAPL,1.000000,0.316740,Somewhat-Bullish
,Yahoo Finance,"Katie Brockman, The Motley Fool",Is Vanguard VOO or Invesco QQQ the Better Buy? How S&P 500 Diversification Compares to Tech-Focused Growth,"This article compares two popular ETFs, Vanguard S&P 500 ETF (VOO) and Invesco QQQ Trust (QQQ), highlighting their differences in fees, performance, risk, and portfolio composition. VOO offers broad market diversification and lower costs, appealing to investors seeking stability, while QQQ provides tech-focused growth potential, albeit with higher volatility and risk. The choice between them depends on an investor's preferences for cost, yield, growth, and risk profile.","This article compares two popular ETFs, Vanguard S&P 500 ETF (VOO) and Invesco QQQ Trust (QQQ), highlighting their differences in fees, performance, risk, and portfolio composition. VOO offers broad market diversification and lower costs, appealing to investors seeking stability, while QQQ provides tech-focused growth potential, albeit with higher volatility and risk. The choice between them depends on an investor's preferences for cost, yield, growth, and risk profile.",https://finance.yahoo.com/news/vanguard-voo-invesco-qqq-better-082003631.html,https://s.yimg.com/ny/api/res/1.2/Y1rv4hH6EjhJbSv7gYuwvQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTE4MjtoPTQ4/https://s.yimg.com/os/creatr-uploaded-images/2020-10/515f50a0-0f30-11eb-9ebf-0273aacc9ef0,2026-02-08 08:23:56+00:00,AAPL,0.206504,Somewhat-Bullish,General,Yahoo Finance,"financial_markets,finance",AAPL,0.622426,0.318514,Somewhat-Bullish
,MarketBeat,MarketBeat,"Skyworks Solutions, Inc. $SWKS Shares Bought by Alps Advisors Inc.","Alps Advisors Inc. significantly increased its stake in Skyworks Solutions (NASDAQ:SWKS) by 79.5% in the third quarter, now holding 612,982 shares valued at approximately $47.2 million. Despite mixed analyst sentiment and recent price target cuts from several firms, Skyworks reported better-than-expected earnings and revenue for its latest quarter and declared a quarterly dividend of $0.71. Company insiders have also recently sold shares of SWKS.","Alps Advisors Inc. significantly increased its stake in Skyworks Solutions (NASDAQ:SWKS) by 79.5% in the third quarter, now holding 612,982 shares valued at approximately $47.2 million. Despite mixed analyst sentiment and recent price target cuts from several firms, Skyworks reported better-than-expected earnings and revenue for its latest quarter and declared a quarterly dividend of $0.71. Company insiders have also recently sold shares of SWKS.",https://www.marketbeat.com/instant-alerts/filing-skyworks-solutions-inc-swks-shares-bought-by-alps-advisors-inc-2026-02-08/,https://www.marketbeat.com/logos/skyworks-solutions-inc-logo-1200x675.png?v=20240202075224,2026-02-08 08:38:16+00:00,AAPL,0.122417,Neutral,General,MarketBeat,"earnings,financial_markets,technology,finance",AAPL,0.647544,0.123246,Neutral
,Insider Monkey,Maham Fatima,TD Cowen Lowers Cerence (CRNC) PT to $12 Following Noisy FQ1 2026 Results,"TD Cowen has lowered its price target for Cerence (CRNC) to $12 from $13 while maintaining a Hold rating, citing ""noisy"" FQ1 2026 results. Despite a significant EBITDA beat and reaffirmation of 2026 guidance, the firm suggests an implied EBITDA shortfall for the remainder of the year compared to consensus. Cerence's FQ1 revenue surged 126% year-over-year to $115.1 million, largely due to a $49.5 million patent settlement with Samsung.","TD Cowen has lowered its price target for Cerence (CRNC) to $12 from $13 while maintaining a Hold rating, citing ""noisy"" FQ1 2026 results. Despite a significant EBITDA beat and reaffirmation of 2026 guidance, the firm suggests an implied EBITDA shortfall for the remainder of the year compared to consensus. Cerence's FQ1 revenue surged 126% year-over-year to $115.1 million, largely due to a $49.5 million patent settlement with Samsung.",https://www.insidermonkey.com/blog/td-cowen-lowers-cerence-crnc-pt-to-12-following-noisy-fq1-2026-results-1691297/,https://imonkey-blog.imgix.net/blog/wp-content/uploads/2017/01/20162236/44141183_m.jpg?auto=format&fit=clip&expires=1802044800&width=480&height=320,2026-02-08 10:30:11+00:00,AAPL,0.08237,Neutral,General,Insider Monkey,"earnings,technology,financial_markets",AAPL,0.682323,0.128250,Neutral
,The Globe and Mail,Motley Fool,Leveraged ETFs: QLD Boasts More Tech Exposure Compared to SSO,"This article compares two leveraged ETFs, ProShares Ultra QQQ (QLD) and ProShares Ultra S&P500 (SSO), highlighting their differences in tech exposure, performance, risk, and fees. QLD, tracking the Nasdaq-100, has a deeper tech focus and higher returns but also steeper drawdowns, while SSO offers broader S&P 500 exposure with slightly lower volatility. Both funds use leverage, making them highly volatile and suitable only for investors willing to stomach significant drawdowns.","This article compares two leveraged ETFs, ProShares Ultra QQQ (QLD) and ProShares Ultra S&P500 (SSO), highlighting their differences in tech exposure, performance, risk, and fees. QLD, tracking the Nasdaq-100, has a deeper tech focus and higher returns but also steeper drawdowns, while SSO offers broader S&P 500 exposure with slightly lower volatility. Both funds use leverage, making them highly volatile and suitable only for investors willing to stomach significant drawdowns.",https://www.theglobeandmail.com/investing/markets/stocks/MSFT/pressreleases/89744/leveraged-etfs-qld-boasts-more-tech-exposure-compared-to-sso/,https://barchart-news-media-prod.aws.barchart.com/FC/ce4e1dcafea6b1505e656407555af5dc/pixel%3Fslug%3Dmotleyfoolgm-2026-2-7-leveraged-etfs-qld-boasts-more-tech-exposure-compared-to-sso,2026-02-08 10:30:16+00:00,AAPL,0.262725,Somewhat-Bullish,General,The Globe and Mail,"financial_markets,technology",AAPL,0.670903,0.325037,Somewhat-Bullish
,Investing.com,Scott Kanowsky,"A ""breakdown"" in U.S. growth and hiring could impact Fed policy - Deutsche Bank","Analysts at Deutsche Bank Research note a ""breakdown"" in the historical correlation between U.S. economic growth and hiring trends since the COVID-19 pandemic. This divergence has led to the Federal Reserve cutting interest rates despite solid growth, influenced by a weak labor market and negative household sentiment. The resolution of this disparity will be crucial for future Fed policy decisions and could even affect the outcome of midterm elections, depending on whether hiring catches up to growth, or growth slows to meet hiring.","Analysts at Deutsche Bank Research note a ""breakdown"" in the historical correlation between U.S. economic growth and hiring trends since the COVID-19 pandemic. This divergence has led to the Federal Reserve cutting interest rates despite solid growth, influenced by a weak labor market and negative household sentiment. The resolution of this disparity will be crucial for future Fed policy decisions and could even affect the outcome of midterm elections, depending on whether hiring catches up to growth, or growth slows to meet hiring.",https://www.investing.com/news/economy-news/a-breakdown-in-us-growth-and-hiring-could-impact-fed-policy--deutsche-bank-4487441,https://i-invdn-com.investing.com/news/moved_LYNXMPEL0C0BO_L.jpg,2026-02-08 10:30:42+00:00,AAPL,-0.081807,Neutral,General,Investing.com,"economy_macro,economy_monetary,financial_markets,finance",AAPL,0.557932,0.248415,Somewhat-Bullish
,TradingView,,"XSPI ETF Analysis: Dividends, Returns BOATS:XSPI","This article provides an in-depth analysis of the NEOS Boosted S&P 500 High Income ETF (XSPI), focusing on its dividend yield, returns, and underlying strategy. XSPI aims to generate high monthly income through S&P 500 stocks and options strategies, targeting an annualized distribution rate of 15-18%. The fund's asset allocation, top holdings, and expense ratio are also detailed.","This article provides an in-depth analysis of the NEOS Boosted S&P 500 High Income ETF (XSPI), focusing on its dividend yield, returns, and underlying strategy. XSPI aims to generate high monthly income through S&P 500 stocks and options strategies, targeting an annualized distribution rate of 15-18%. The fund's asset allocation, top holdings, and expense ratio are also detailed.",https://www.tradingview.com/symbols/BOATS-XSPI/analysis/,https://s3-symbol-logo.tradingview.com/neosfunds--big.svg,2026-02-08 10:51:28+00:00,AAPL,0.210573,Somewhat-Bullish,General,TradingView,financial_markets,AAPL,0.637502,0.209609,Somewhat-Bullish
